iter	Logloss	Accuracy
790	0.2054241325	0.9115392176
791	0.2053860829	0.9115570885
792	0.205351694	0.9115838948
793	0.2053318617	0.9116017656
794	0.2053063832	0.9116285719
795	0.205252486	0.9116643137
796	0.2052028144	0.9116821845
797	0.2051880814	0.9116821845
798	0.2051673899	0.9117804743
799	0.2051375314	0.9117447326
800	0.2050965592	0.9119234412
801	0.2050706434	0.9118251515
802	0.205044589	0.9118072806
803	0.2050172641	0.9118251515
804	0.2049987056	0.9118608932
805	0.2049553037	0.9118340869
806	0.2049235198	0.9118966349
807	0.2048922252	0.9118876995
808	0.2048383041	0.9118430223
809	0.204789592	0.9119234412
810	0.204741065	0.9119681184
811	0.2047009157	0.9119681184
812	0.2046740451	0.9120396018
813	0.2046361293	0.912146827
814	0.2046025191	0.9120664081
815	0.2045736687	0.9121378916
816	0.2045161045	0.9121646979
817	0.2044682558	0.9121021499
818	0.2044483967	0.9121736333
819	0.2044383649	0.9121915042
820	0.2044129652	0.9122719231
821	0.2043939151	0.9122629877
822	0.2043487444	0.9122897939
823	0.2043174243	0.9122897939
824	0.2042801295	0.9122719231
825	0.2042288845	0.9122987294
826	0.2042100111	0.9122897939
827	0.2041734085	0.9123166002
828	0.204132699	0.912352342
829	0.2040895986	0.9123166002
830	0.20405544	0.91241489
831	0.2040236135	0.9123612774
832	0.2039955286	0.9124238254
833	0.2039536229	0.9124059546
834	0.2039241531	0.9124506317
835	0.2038777591	0.9125221152
836	0.2038369035	0.9124953089
837	0.2038209908	0.9124863735
838	0.2037796361	0.912477438
839	0.2037627846	0.9125489215
840	0.2037372829	0.9125489215
841	0.2037013888	0.9125489215
842	0.2036713186	0.9125310506
843	0.2036341026	0.9125846632
844	0.203596885	0.9125310506
845	0.2035730649	0.9125667924
846	0.2035498497	0.9125310506
847	0.203522989	0.9125221152
848	0.2034976768	0.9125578569
849	0.203445784	0.9127008238
850	0.203425243	0.912682953
851	0.20340273	0.9127097593
852	0.2033755168	0.9127544364
853	0.2033274335	0.9128437908
854	0.2032979842	0.9128884679
855	0.2032579222	0.9128705971
856	0.2032081721	0.9128527262
857	0.203160996	0.9128527262
858	0.2031108132	0.9128884679
859	0.2030904283	0.912951016
860	0.2030597344	0.9128795325
861	0.2030136258	0.912951016
862	0.2029809291	0.9129956931
863	0.2029463714	0.9130314349
864	0.2029134963	0.9130493057
865	0.2028891283	0.9130671766
